Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-WW,0.40%,3.81%,0.00%,0.19%,0.02%,0.02%,0.00%,95.56%
Jira-CLOUD,0.22%,3.65%,0.00%,0.11%,0.01%,0.00%,0.00%,96.00%
Apache-AIRAVATA,1.14%,2.67%,0.00%,0.44%,0.11%,0.00%,0.00%,95.65%
Apache-CALCITE,0.16%,5.06%,0.00%,0.31%,0.00%,0.00%,0.00%,94.47%
Apache-XALANJ,0.00%,0.53%,0.00%,0.11%,0.00%,0.00%,0.00%,99.35%
Apache-CLOUDSTACK,0.50%,0.89%,0.00%,0.33%,0.03%,0.00%,0.00%,98.25%
Spring-DATAREDIS,0.08%,16.55%,0.00%,0.08%,0.00%,0.00%,0.00%,83.29%
RedHat-APIMAN,1.95%,2.92%,0.00%,0.75%,0.07%,0.15%,0.00%,94.16%
Apache-DIRSERVER,0.65%,1.74%,0.00%,0.61%,0.17%,0.00%,0.00%,96.82%
JiraEcosystem-ACJIRA,0.61%,0.85%,0.00%,0.19%,0.05%,0.00%,0.00%,98.30%
Apache-GEODE,0.42%,2.12%,0.00%,0.37%,0.07%,0.01%,0.00%,97.01%
